Month,Agency,Ridership
2023-01-01,Staten_Island_Railway,184342.0
2023-01-01,Subway,88997973.0
2023-02-01,Acces_A_Ride,801617.0
2023-02-01,Briges & Tunnels,23923838.0
2023-02-01,Long_Island_Railroad,4296379.5
2023-02-01,MetroNorth,3945780.2
2023-02-01,Bus,6548294.0
2023-02-01,Bus,26621222.0
2023-02-01,Staten_Island_Railway,161777.0
2023-02-01,Subway,84364006.0
2023-03-01,Acces_A_Ride,935334.0
2023-03-01,Briges & Tunnels,27885442.0
2023-03-01,Long_Island_Railroad,5235497.0
2023-03-01,MetroNorth,4868485.0
2023-03-01,Bus,7896919.0
2023-03-01,Bus,31834944.0
2023-03-01,Staten_Island_Railway,205880.0
2023-03-01,Subway,101147710.0
2023-04-01,Acces_A_Ride,883681.0
2023-04-01,Briges & Tunnels,27399710.0
2023-04-01,Long_Island_Railroad,4988126.0
2023-04-01,MetroNorth,4744572.0
2023-04-01,Bus,6986550.0
2023-04-01,Bus,28689898.0
2023-04-01,Staten_Island_Railway,172132.0
2023-04-01,Subway,94267491.0
2023-05-01,Acces_A_Ride,949070.0
2023-05-01,Briges & Tunnels,29737524.0
2023-05-01,Long_Island_Railroad,5634423.470000001
2023-05-01,MetroNorth,5351707.48
2023-05-01,Bus,7966114.0
2023-05-01,Bus,31698626.0
2023-05-01,Staten_Island_Railway,209461.0
2023-05-01,Subway,104532854.0
2023-06-01,Acces_A_Ride,925964.0
2023-06-01,Briges & Tunnels,29347979.0
2023-06-01,Long_Island_Railroad,5768267.0
2023-06-01,MetroNorth,5276518.2
2023-06-01,Bus,7392631.0
2023-06-01,Bus,29098672.0
2023-06-01,Staten_Island_Railway,185529.0
2023-06-01,Subway,97823227.0
2023-07-01,Acces_A_Ride,915715.0
2023-07-01,Briges & Tunnels,29296301.0
2023-07-01,Long_Island_Railroad,5517014.359999999
2023-07-01,MetroNorth,4960907.8100000005
2023-07-01,Bus,7027501.0
2023-07-01,Bus,27802733.0
2023-07-01,Staten_Island_Railway,154544.0
2023-07-01,Subway,91228642.0
2023-08-01,Acces_A_Ride,983118.0
2023-08-01,Briges & Tunnels,29658051.0
2023-08-01,Long_Island_Railroad,5857735.0
2023-08-01,MetroNorth,5117147.0
2023-08-01,Bus,7333164.0
2023-08-01,Bus,28616725.0
2023-08-01,Staten_Island_Railway,168546.0
2023-08-01,Subway,94151472.0
2023-09-01,Acces_A_Ride,903131.0
2023-09-01,Briges & Tunnels,27776343.0
2023-09-01,Long_Island_Railroad,5569954.359999999
2023-09-01,MetroNorth,4978316.72
2023-09-01,Bus,7091388.0
2023-09-01,Bus,27842423.0
2023-09-01,Staten_Island_Railway,187959.0
2023-09-01,Subway,95324813.0
2023-10-01,Acces_A_Ride,999343.0
2023-10-01,Briges & Tunnels,29003344.0
2023-10-01,Long_Island_Railroad,6032844.67
2023-10-01,MetroNorth,5637482.4
2023-10-01,Bus,7628872.0
2023-10-01,Bus,29130543.0
2023-10-01,Staten_Island_Railway,216273.0
2023-10-01,Subway,104418785.0
2023-11-01,Acces_A_Ride,971442.0
2023-11-01,Briges & Tunnels,27665194.0
2023-11-01,Long_Island_Railroad,5845387.82
2023-11-01,MetroNorth,5425451.1
2023-11-01,Bus,6977570.0
2023-11-01,Bus,26572185.0
2023-11-01,Staten_Island_Railway,201202.0
2023-11-01,Subway,98545501.0
2023-12-01,Acces_A_Ride,967966.0
2023-12-01,Briges & Tunnels,27686588.0
2023-12-01,Long_Island_Railroad,5860430.2
2023-12-01,MetroNorth,5360728.47
2023-12-01,Bus,6472247.0
2023-12-01,Bus,24545828.0
2023-12-01,Staten_Island_Railway,182014.0
2023-12-01,Subway,97195684.0
2024-01-01,Acces_A_Ride,932149.0
2024-01-01,Briges & Tunnels,25367856.0
2024-01-01,Long_Island_Railroad,5490105.37
2024-01-01,MetroNorth,5003857.84
2024-01-01,Bus,6607430.0
2024-01-01,Bus,24991585.0
2024-01-01,Staten_Island_Railway,190031.0
2024-01-01,Subway,91506179.0
2024-02-01,Acces_A_Ride,950075.0
2024-02-01,Briges & Tunnels,25053194.0
2024-02-01,Long_Island_Railroad,5331553.68
2024-02-01,MetroNorth,4710620.09
2024-02-01,Bus,6474367.0
2024-02-01,Bus,24769351.0
2024-02-01,Staten_Island_Railway,176402.0
2024-02-01,Subway,90320025.0
2024-03-01,Acces_A_Ride,1092172.0
2024-03-01,Briges & Tunnels,28056629.0
2024-03-01,Long_Island_Railroad,5966184.33
2024-03-01,MetroNorth,5322102.199999999
2024-03-01,Bus,7045571.0
2024-03-01,Bus,26950075.0
2024-03-01,Staten_Island_Railway,198568.0
2024-03-01,Subway,99998718.0
2024-04-01,Acces_A_Ride,1064789.0
2024-04-01,Briges & Tunnels,27585525.0
2024-04-01,Long_Island_Railroad,6089803.6
2024-04-01,MetroNorth,5585586.800000001
2024-04-01,Bus,6930840.0
2024-04-01,Bus,26393470.0
2024-04-01,Staten_Island_Railway,189724.0
2024-04-01,Subway,100170784.0
2024-05-01,Acces_A_Ride,1146980.0
2024-05-01,Briges & Tunnels,29673686.0
2024-05-01,Long_Island_Railroad,6515861.0
2024-05-01,MetroNorth,5893763.82
2024-05-01,Bus,7325074.0
2024-05-01,Bus,27703586.0
2024-05-01,Staten_Island_Railway,214219.0
2024-05-01,Subway,105912354.0
2024-06-01,Acces_A_Ride,1109589.0
2024-06-01,Briges & Tunnels,29427742.0
2024-06-01,Long_Island_Railroad,6439776.0
2024-06-01,MetroNorth,5755940.0
2024-06-01,Bus,6813754.0
2024-06-01,Bus,25580508.0
2024-06-01,Staten_Island_Railway,184080.0
2024-06-01,Subway,96641726.0
2024-07-01,Acces_A_Ride,1152597.0
2024-07-01,Briges & Tunnels,29296583.0
2024-07-01,Long_Island_Railroad,6484807.93
2024-07-01,MetroNorth,5773362.73
2024-07-01,Bus,6935083.0
2024-07-01,Bus,25637719.0
2024-07-01,Staten_Island_Railway,172022.0
2024-07-01,Subway,93909621.0
2024-08-01,Acces_A_Ride,1167577.0
2024-08-01,Briges & Tunnels,29383166.0
2024-08-01,Long_Island_Railroad,6488724.2
2024-08-01,MetroNorth,5447796.0
2024-08-01,Bus,7039414.0
2024-08-01,Bus,24643322.0
2024-08-01,Staten_Island_Railway,165470.0
2024-08-01,Subway,92279864.0
2024-09-01,Acces_A_Ride,1156048.0
2024-09-01,Briges & Tunnels,28373388.0
2024-09-01,Long_Island_Railroad,6655643.92
2024-09-01,MetroNorth,0.0
2024-09-01,Bus,7847464.0
2024-09-01,Bus,29174450.0
2024-09-01,Staten_Island_Railway,206481.0
2024-09-01,Subway,103410538.0
2024-10-01,Acces_A_Ride,1213220.0
2024-10-01,Briges & Tunnels,29328207.0
2024-10-01,Long_Island_Railroad,7153921.0
2024-10-01,MetroNorth,6548501.0
2024-10-01,Bus,8529647.0
2024-10-01,Bus,31811369.0
2024-10-01,Staten_Island_Railway,230381.0
2024-10-01,Subway,113310626.0
2024-11-01,Acces_A_Ride,1150961.0
2024-11-01,Briges & Tunnels,27482080.0
2024-11-01,Long_Island_Railroad,6283873.3
2024-11-01,MetroNorth,5684233.699999999
2024-11-01,Bus,7494503.0
2024-11-01,Bus,28103512.0
2024-11-01,Staten_Island_Railway,195389.0
2024-11-01,Subway,102543910.0
